date,time,p_open,p_high,p_low,p_close,volumn,oi
20181107,14:10:00,99.85,99.85,99.85,99.85,7,2097
20181107,14:11:00,99.86,99.865,99.86,99.865,36,2065
20181107,14:14:00,99.865,99.865,99.865,99.865,2,2063
20181107,14:15:00,99.86,99.86,99.86,99.86,1,2064
20181107,14:20:00,99.86,99.865,99.86,99.865,8,2062
20181107,14:21:00,99.86,99.86,99.86,99.86,2,2062
20181107,14:25:00,99.86,99.86,99.86,99.86,1,2062
20181107,14:26:00,99.865,99.865,99.865,99.865,1,2062
20181107,14:32:00,99.88,99.88,99.88,99.88,31,2032
20181107,14:41:00,99.88,99.88,99.88,99.88,1,2033
20181107,14:44:00,99.875,99.875,99.875,99.875,1,2033
20181107,14:49:00,99.875,99.875,99.875,99.875,1,2034
20181107,14:51:00,99.87,99.87,99.87,99.87,1,2033
20181107,14:52:00,99.87,99.87,99.87,99.87,15,2019
20181107,14:53:00,99.87,99.88,99.87,99.88,16,2003
20181107,14:55:00,99.885,99.885,99.885,99.885,1,2003
20181107,14:56:00,99.885,99.9,99.885,99.9,41,1966
20181107,14:57:00,99.89,99.89,99.885,99.885,2,1964
20181107,15:01:00,99.88,99.88,99.88,99.88,15,1949
20181107,15:03:00,99.9,99.9,99.9,99.9,1,1949
20181107,15:04:00,99.88,99.88,99.88,99.88,1,1948
20181107,15:14:00,99.885,99.885,99.885,99.885,1,1949
20181108,09:15:00,99.83,99.9,99.83,99.9,16,1940
20181108,09:16:00,99.9,99.905,99.9,99.905,14,1926
20181108,09:17:00,99.94,99.94,99.94,99.94,4,1926
20181108,09:22:00,99.915,99.915,99.91,99.91,2,1926
20181108,09:25:00,99.915,99.915,99.915,99.915,1,1926
20181108,09:27:00,99.92,99.92,99.92,99.92,1,1925
20181108,09:28:00,99.93,99.93,99.93,99.93,1,1926
20181108,09:29:00,99.905,99.905,99.905,99.905,15,1911
20181108,09:39:00,99.93,99.93,99.93,99.93,1,1910
20181108,09:40:00,99.93,99.93,99.93,99.93,4,1906
20181108,09:45:00,99.93,99.93,99.93,99.93,1,1905
20181108,09:48:00,99.93,99.93,99.93,99.93,1,1904
20181108,09:50:00,99.93,99.93,99.93,99.93,1,1904
20181108,09:51:00,99.93,99.935,99.93,99.935,4,1901
20181108,09:53:00,99.935,99.935,99.935,99.935,6,1895
20181108,10:01:00,99.925,99.935,99.925,99.935,6,1890
20181108,10:04:00,99.935,99.935,99.935,99.935,2,1889
20181108,10:10:00,99.935,99.935,99.935,99.935,4,1885
20181108,10:23:00,99.94,99.94,99.94,99.94,7,1879
20181108,10:26:00,99.95,99.96,99.95,99.96,30,1857
20181108,10:28:00,99.945,99.945,99.945,99.945,1,1857
20181108,10:30:00,99.94,99.94,99.94,99.94,1,1857
20181108,10:34:00,99.935,99.935,99.935,99.935,4,1856
20181108,10:35:00,99.935,99.935,99.935,99.935,1,1855
20181108,10:38:00,99.93,99.93,99.93,99.93,10,1857
20181108,10:39:00,99.93,99.93,99.93,99.93,3,1860
20181108,10:42:00,99.93,99.93,99.93,99.93,7,1867
20181108,10:43:00,99.935,99.935,99.935,99.935,1,1866
20181108,10:45:00,99.935,99.935,99.935,99.935,1,1865
20181108,10:46:00,99.935,99.935,99.935,99.935,1,1865
20181108,10:47:00,99.94,99.94,99.94,99.94,1,1865
20181108,10:48:00,99.94,99.94,99.94,99.94,11,1863
20181108,10:49:00,99.945,99.945,99.945,99.945,1,1863
20181108,10:51:00,99.935,99.935,99.935,99.935,3,1860
20181108,10:54:00,99.935,99.935,99.935,99.935,2,1860
20181108,10:57:00,99.935,99.935,99.93,99.93,19,1863
20181108,10:59:00,99.93,99.93,99.93,99.93,1,1863
20181108,11:00:00,99.925,99.925,99.925,99.925,1,1863
20181108,11:01:00,99.925,99.925,99.925,99.925,9,1860
20181108,11:02:00,99.925,99.925,99.925,99.925,1,1860
20181108,11:06:00,99.91,99.91,99.91,99.91,10,1860
20181108,11:08:00,99.925,99.925,99.925,99.925,9,1860
20181108,11:09:00,99.925,99.925,99.925,99.925,3,1860
20181108,11:10:00,99.92,99.92,99.92,99.92,1,1859
20181108,11:11:00,99.92,99.92,99.92,99.92,10,1864
20181108,11:27:00,99.915,99.915,99.915,99.915,1,1864
20181108,11:29:00,99.915,99.915,99.915,99.915,1,1864
20181108,13:06:00,99.91,99.91,99.91,99.91,10,1864
20181108,13:07:00,99.905,99.905,99.905,99.905,1,1864
20181108,13:08:00,99.905,99.915,99.905,99.915,5,1863
20181108,13:09:00,99.915,99.915,99.91,99.91,2,1862
20181108,13:10:00,99.905,99.905,99.905,99.905,1,1861
20181108,13:13:00,99.905,99.905,99.905,99.905,1,1860
20181108,13:14:00,99.905,99.91,99.905,99.91,5,1859
20181108,13:15:00,99.915,99.915,99.915,99.915,2,1859
20181108,13:20:00,99.915,99.915,99.915,99.915,11,1869
20181108,13:22:00,99.91,99.91,99.91,99.91,2,1869
20181108,13:31:00,99.915,99.92,99.915,99.92,14,1873
20181108,13:32:00,99.92,99.92,99.92,99.92,6,1873
20181108,13:33:00,99.915,99.915,99.915,99.915,34,1873
20181108,13:34:00,99.91,99.925,99.91,99.925,31,1873
20181108,13:37:00,99.93,99.93,99.93,99.93,3,1870
20181108,13:38:00,99.93,99.93,99.93,99.93,2,1870
20181108,13:40:00,99.935,99.935,99.935,99.935,7,1867
20181108,13:41:00,99.95,99.96,99.95,99.96,29,1845
20181108,13:47:00,99.955,99.955,99.955,99.955,1,1846
20181108,13:53:00,99.95,99.95,99.95,99.95,1,1847
20181108,14:14:00,99.96,99.96,99.96,99.96,2,1847
20181108,14:15:00,99.96,99.96,99.96,99.96,1,1847
20181108,14:16:00,99.96,99.96,99.96,99.96,1,1847
20181108,14:18:00,99.96,99.96,99.955,99.955,2,1847
20181108,14:20:00,99.955,99.96,99.955,99.96,2,1846
20181108,14:21:00,99.96,99.96,99.96,99.96,1,1845
20181108,14:25:00,99.945,99.95,99.945,99.95,2,1846
20181108,14:28:00,99.95,99.95,99.95,99.95,1,1845
20181108,14:29:00,99.955,99.955,99.955,99.955,1,1846
20181108,14:33:00,99.96,99.96,99.96,99.96,1,1846
20181108,14:37:00,99.95,99.95,99.95,99.95,1,1846
20181108,14:41:00,99.95,99.95,99.95,99.95,1,1846
20181108,14:54:00,99.95,99.95,99.95,99.95,3,1848
20181108,14:55:00,99.94,99.94,99.94,99.94,1,1849
20181108,14:56:00,99.94,99.94,99.94,99.94,4,1849
20181108,14:58:00,99.95,99.95,99.95,99.95,1,1849
20181108,15:00:00,99.95,99.95,99.95,99.95,1,1849
20181108,15:01:00,99.945,99.945,99.945,99.945,1,1848
20181108,15:02:00,99.945,99.945,99.945,99.945,3,1845
20181108,15:07:00,99.945,99.95,99.945,99.95,2,1844
20181108,15:09:00,99.955,99.955,99.955,99.955,1,1844
20181108,15:13:00,99.95,99.95,99.945,99.945,7,1839
20181108,15:14:00,99.945,99.945,99.945,99.945,2,1840
20181109,09:16:00,99.935,99.935,99.935,99.935,1,1840
20181109,09:17:00,99.94,99.94,99.94,99.94,1,1841
20181109,09:18:00,99.94,99.94,99.94,99.94,1,1841
20181109,09:35:00,99.96,99.965,99.96,99.965,2,1841
20181109,09:44:00,99.965,99.965,99.965,99.965,1,1842
20181109,09:50:00,99.965,99.965,99.965,99.965,5,1837
20181109,09:54:00,99.97,99.97,99.97,99.97,1,1837
20181109,09:57:00,99.965,99.965,99.965,99.965,1,1837
20181109,10:01:00,99.96,99.96,99.96,99.96,1,1836
20181109,10:02:00,99.965,99.965,99.965,99.965,1,1835
20181109,10:04:00,99.97,99.97,99.97,99.97,5,1832
20181109,10:07:00,99.965,99.965,99.965,99.965,7,1833
20181109,10:12:00,99.965,99.965,99.965,99.965,1,1834
20181109,10:14:00,99.96,99.96,99.96,99.96,1,1834
20181109,10:15:00,99.96,99.96,99.96,99.96,1,1834
20181109,10:24:00,99.965,99.965,99.965,99.965,3,1834
20181109,10:30:00,99.96,99.96,99.96,99.96,1,1833
20181109,10:31:00,99.96,99.96,99.96,99.96,1,1833
20181109,10:34:00,99.955,99.955,99.95,99.95,3,1833
20181109,10:37:00,99.95,99.95,99.95,99.95,1,1833
20181109,10:39:00,99.945,99.945,99.94,99.94,15,1833
20181109,10:43:00,99.935,99.935,99.935,99.935,1,1833
20181109,10:44:00,99.935,99.935,99.935,99.935,1,1833
20181109,10:46:00,99.94,99.94,99.94,99.94,6,1838
20181109,10:47:00,99.935,99.935,99.935,99.935,1,1837
20181109,10:50:00,99.935,99.935,99.935,99.935,1,1837
20181109,10:51:00,99.935,99.935,99.935,99.935,1,1836
20181109,10:55:00,99.94,99.94,99.94,99.94,4,1832
20181109,10:56:00,99.94,99.94,99.935,99.935,2,1831
20181109,11:01:00,99.935,99.935,99.935,99.935,3,1828
20181109,11:07:00,99.94,99.94,99.94,99.94,1,1829
20181109,11:15:00,99.94,99.94,99.94,99.94,2,1827
20181109,11:16:00,99.94,99.94,99.94,99.94,1,1826
20181109,11:17:00,99.94,99.94,99.94,99.94,2,1826
20181109,11:18:00,99.94,99.94,99.94,99.94,1,1826
20181109,11:19:00,99.945,99.945,99.945,99.945,2,1827
20181109,11:22:00,99.94,99.94,99.94,99.94,4,1823
20181109,11:23:00,99.935,99.935,99.93,99.93,6,1817
20181109,11:29:00,99.935,99.935,99.935,99.935,2,1815
20181109,13:16:00,99.92,99.92,99.92,99.92,1,1816
20181109,13:20:00,99.91,99.91,99.91,99.91,3,1816
20181109,13:23:00,99.92,99.92,99.92,99.92,2,1817
20181109,13:24:00,99.92,99.92,99.92,99.92,1,1817
20181109,13:29:00,99.915,99.915,99.915,99.915,1,1817
20181109,13:30:00,99.915,99.915,99.915,99.915,1,1816
20181109,13:32:00,99.915,99.915,99.915,99.915,1,1815
20181109,13:37:00,99.92,99.92,99.92,99.92,1,1815
20181109,13:38:00,99.92,99.92,99.92,99.92,1,1814
20181109,13:44:00,99.925,99.925,99.925,99.925,1,1814
20181109,13:49:00,99.92,99.92,99.92,99.92,1,1814
20181109,13:55:00,99.93,99.93,99.93,99.93,2,1814
20181109,13:56:00,99.935,99.935,99.935,99.935,8,1806
20181109,14:00:00,99.935,99.935,99.935,99.935,2,1806
20181109,14:01:00,99.935,99.935,99.935,99.935,4,1806
20181109,14:02:00,99.935,99.935,99.925,99.925,3,1805
20181109,14:03:00,99.925,99.925,99.925,99.925,2,1806
20181109,14:04:00,99.925,99.925,99.925,99.925,4,1810
20181109,14:06:00,99.935,99.935,99.935,99.935,2,1809
20181109,14:08:00,99.935,99.935,99.935,99.935,1,1809
